2017-08-27,30.6,23.2,64,曇時々晴,3,1013.4
2017-08-28,31.4,22.3,74,曇後晴,2.7,1011.4
2017-08-29,32.2,25.2,77,曇後一時晴,4.1,1006.6
2017-08-30,32.9,24.1,83,曇時々晴後一時雨,3.3,1005
2017-08-31,24.2,20,88,雨後時々曇,3.6,1004
2017-09-01,27.4,17.3,71,曇後一時雨,3.6,1004.6
2017-09-02,24.5,16.8,82,雨一時曇後晴,3.3,1004
2017-09-03,27.2,16.4,76,晴時々曇,2.8,1007.5
2017-09-04,22.5,18.9,90,曇時々雨,2.1,1014.3
2017-09-05,27.3,18.8,84,曇,2.2,1012.3
2017-09-06,22.8,19.8,99,雨時々曇,1.7,1005.4
2017-09-07,24,20.2,99,曇時々雨,1.6,1001.3
2017-09-08,28.2,21,86,曇後晴,2.4,1003
2017-09-09,29.2,21.5,74,晴一時曇,2.4,1010.3
2017-09-10,29.9,21.6,79,晴一時曇,2.8,1012
2017-09-11,29.8,22.8,78,曇,4.1,1011.7
2017-09-12,27,22.7,93,雨後時々曇、雷を伴う,3.4,1004.8
2017-09-13,31.2,22.1,70,晴後薄曇,2.9,1009.9
2017-09-14,31,22.6,70,曇時々晴,2.7,1011.7
2017-09-15,28.5,19.9,57,薄曇,3,1014.1
2017-09-16,22.9,18.1,78,曇時々雨,2.6,1016.3
2017-09-17,20.9,17.9,100,雨,2.5,1007.5
2017-09-18,33.3,20.3,71,晴,4.6,996.4
2017-09-19,28.2,21.3,67,薄曇時々晴,2.3,1006.7
2017-09-20,25.7,21.4,74,曇,2.4,1004.5
2017-09-21,29.5,19.6,54,晴時々曇,3.4,1008
2017-09-22,26.1,19.3,84,曇後雨,2.3,1014.1
2017-09-23,24,17.7,85,曇一時雨,2.6,1012
2017-09-24,26.3,18,77,曇一時晴,2.1,1012.9
2017-09-25,28.9,19.6,75,晴時々曇,2.3,1011.9
2017-09-26,28.2,20,77,晴一時曇,2.5,1012.1
2017-09-27,26.5,21,77,曇,4,1008.7
2017-09-28,24.7,16.2,92,曇時々雨,2.9,999.4
2017-09-29,24.2,16,75,晴,2.4,1010.3
2017-09-30,24.2,17.6,80,曇後一時晴,1.9,1017
2017-10-01,24.9,16.1,68,晴後曇,2.8,1020.6
2017-10-02,25.1,19.6,76,曇,2.8,1014.2
2017-10-03,27.8,19.3,85,曇時々晴,2.4,1006.5
2017-10-04,21.3,15.4,64,曇一時雨,2.9,1016
2017-10-05,20.7,14.3,54,曇後一時晴,2.6,1024.6
2017-10-06,18.6,14,78,曇後雨,2.6,1025
2017-10-07,22.4,14.8,96,雨後曇一時晴,2.4,1016.7
2017-10-08,26.4,17.3,85,曇時々晴,1.9,1020.1
2017-10-09,25.3,16.2,80,晴一時薄曇,2.1,1019.3
2017-10-10,28.6,18.1,81,晴,1.9,1013.6
2017-10-11,23.4,19.7,90,曇一時晴,2,1012.2
2017-10-12,29,18.7,80,晴後時々薄曇,2.2,1010.1
2017-10-13,19.8,14.5,92,雨,2.9,1015.8
2017-10-14,15.4,13.7,98,雨時々曇,2.1,1018.6
2017-10-15,16,14.1,97,雨,2,1022.4
2017-10-16,14.3,11.8,100,雨,2.6,1023.8
2017-10-17,15.6,11.6,96,雨後曇,1.9,1019.9
2017-10-18,19.5,11.2,74,晴後曇,2.9,1021.1
2017-10-19,12.3,9.9,98,大雨,2.8,1019.1
2017-10-20,17,11.4,98,雨後時々曇,3.2,1014.2
2017-10-21,17.2,15.2,100,雨,2.3,1013.7
2017-10-22,18.1,16.8,100,大雨,3.2,1001.1
2017-10-23,22.7,15,64,曇一時雨後晴,6.8,990.1
2017-10-24,18.2,13.4,62,曇,2.6,1019.4
2017-10-25,14.4,11.2,88,雨後一時曇,2.7,1016.9
2017-10-26,20.2,10.3,74,快晴,2,1018.3
2017-10-27,20.7,9.5,73,晴,2.1,1020.1
2017-10-28,16.5,13.4,86,雨時々曇,2.4,1023.1
2017-10-29,16.3,13.4,100,大雨、雷を伴う,2.9,1003.4
2017-10-30,18.9,10.5,53,快晴,5.1,1004.7
2017-10-31,16.9,9.1,58,曇時々晴,2.6,1018.8
2017-11-01,19.1,9.8,69,晴一時曇,2,1018.5
2017-11-02,20.8,9.6,71,薄曇一時晴,2.2,1016.3
2017-11-03,21.9,12,80,晴一時曇,2.3,1011.8
2017-11-04,21.8,11.9,74,晴時々曇後一時雨,2.5,1010.9
2017-11-05,17.8,10.1,56,快晴,3,1022.5
2017-11-06,19.8,8,67,快晴,2.1,1022.2
2017-11-07,21.2,9.3,73,晴後一時薄曇,2,1019.1
2017-11-08,18.4,11.5,80,雨後曇,1.9,1011.2
2017-11-09,18.8,10.5,53,快晴,4.1,1013.1
2017-11-10,17.7,9.1,63,晴時々曇,2.1,1016.5
2017-11-11,20.7,11.3,53,晴時々曇,4.4,1003.2
2017-11-12,16.1,9.2,49,晴,3.2,1014.6
2017-11-13,16.5,7.6,69,曇時々晴,1.9,1017.8
2017-11-14,15.3,10.3,91,曇後雨,1.9,1010.3
2017-11-15,17,10.2,86,曇後時々晴,2.1,1008.2
2017-11-16,16.4,7.9,58,晴後一時曇,2.8,1011.7
2017-11-17,13.6,5.5,63,晴後一時薄曇,2,1017.7
2017-11-18,15.1,8.2,74,雨時々曇,3,1004.8
2017-11-19,12.3,4.7,50,晴一時曇,3.4,1009
2017-11-20,10.4,3.6,59,曇後時々晴,1.8,1014.8
2017-11-21,11.9,3.7,49,快晴,3.4,1021
2017-11-22,11.5,3.2,69,曇後一時雨,2,1018.9
2017-11-23,14.5,6.1,82,雨後晴,2.5,1003.4
2017-11-24,14.8,5.1,55,晴時々曇後一時雨,1.7,1011.9
2017-11-25,14.4,3.7,59,晴後時々薄曇,1.7,1020.1
2017-11-26,18.2,3.5,59,晴後一時曇,2.9,1018.2
2017-11-27,14.5,7.7,66,晴後曇,2.5,1023.7
2017-11-28,15,9.9,76,曇,2,1022.3
2017-11-29,19.2,7.3,75,晴,1.6,1013.3
2017-11-30,14.3,7.7,80,曇時々雨,2.1,1011.8
2017-12-01,10.2,6.7,85,曇時々雨,2.2,1014.3
2017-12-02,11.1,4.5,67,晴,2,1022.2
2017-12-03,12.5,5.2,64,晴,2,1019.1
2017-12-04,12.6,4.6,68,曇一時晴,2.1,1010.5
2017-12-05,14.5,4.4,60,晴,2.6,1002.5
2017-12-06,11.1,2.8,56,快晴,2.2,1013.5
2017-12-07,11.5,2.7,65,晴,2,1015.7
2017-12-08,9.5,2.6,80,曇後一時雨,2.1,1006.3
2017-12-09,10.4,1.2,55,快晴,2.4,1011.8
2017-12-10,13.3,1.3,60,晴一時薄曇,1.9,1012.4
2017-12-11,16,5.1,55,晴一時曇,2.7,1001.6
2017-12-12,10.3,3.8,34,晴後一時薄曇,2.9,1007.7
2017-12-13,10.4,2.6,39,晴,2.8,1011.7
2017-12-14,10.1,1.6,41,快晴,3.5,1018.6
2017-12-15,8.3,3,55,曇後一時晴,1.8,1020.2
2017-12-16,13.3,2.1,60,晴時々曇,1.6,1008.8
2017-12-17,9.3,3.3,42,晴,3.8,1012.1
2017-12-18,9.5,-0.2,56,晴,2,1019.7
2017-12-19,12.8,0.3,52,快晴,2.3,1015.6
2017-12-20,9.4,2.3,52,晴,1.9,1022.4
2017-12-21,10.4,0.7,63,晴,2,1022.7
2017-12-22,10.9,1.5,68,晴一時曇,1.9,1021.8
2017-12-23,13.4,1,61,晴後時々薄曇,1.8,1018.1
2017-12-24,10.8,4.5,68,曇後一時晴,1.6,1014.9
2017-12-25,15,5.4,61,晴,4.2,1000.1
2017-12-26,12.6,3.6,46,晴,3.1,1004.1
2017-12-27,9.2,1,44,晴,3.1,1006.2
2017-12-28,9.8,1.1,39,快晴,3.3,1014
2017-12-29,10.5,2.3,39,晴,3.4,1012.5
2017-12-30,11.1,1,44,快晴,2.8,1016.8
2017-12-31,5.4,2.2,68,曇一時雪,2.1,1015.7
2018-01-01,13,0.4,55,晴,2.7,1009.7
2018-01-02,10.8,0.8,42,快晴,3.2,1011.2
2018-01-03,8.6,2.3,43,快晴,5.2,1010.3
2018-01-04,9.6,0,41,快晴,2.8,1015
2018-01-05,6.3,0.8,60,曇一時雨,1.8,1012.3
2018-01-06,10.5,-1.4,57,晴,1.9,1008.4
2018-01-07,11.6,1.2,41,晴一時薄曇,2.8,1016.8
2018-01-08,9.5,3.2,71,曇時々雨、みぞれを伴う,1.9,1011.8
2018-01-09,16,3.3,,曇後晴,2.7,993.4
2018-01-10,11.1,3.3,41,快晴,4.7,1003.9
2018-01-11,10.2,0.8,38,晴,2.4,1008.9
2018-01-12,7,-1.6,36,晴,2,1016.4
2018-01-13,7.3,-0.8,51,快晴,2.3,1019.3
2018-01-14,8.4,0.4,43,快晴,3.1,1025.3
2018-01-15,12.4,-1.1,53,晴時々薄曇,2,1020.4
2018-01-16,13.7,1.4,56,晴時々薄曇,1.6,1016.6
2018-01-17,9.1,4.4,81,曇後雨,2.1,1009.9
2018-01-18,13.7,3,86,晴後曇,1.9,1010
2018-01-19,11.2,6,54,晴後曇,2.7,1015.5
2018-01-20,10.1,4.3,70,曇後晴,1.6,1014.5
2018-01-21,12,2.3,60,晴,2.1,1013.4
2018-01-22,5.3,-0.5,83,大雪一時曇,3,1013.2
2018-01-23,10,-0.7,69,快晴,2.8,1002.7
2018-01-24,7.3,-1.8,46,晴,3.3,1003.2
2018-01-25,4,-4,39,快晴,2.9,1007.1
2018-01-26,5.1,-3.1,39,晴一時曇,3.8,1004.6
2018-01-27,7.3,-1.8,33,快晴,4.3,1012.2
2018-01-28,5.5,-0.8,52,曇時々晴一時雪,1.9,1012.7
2018-01-29,9.7,-1.9,66,晴後一時曇,2.1,1003.9
2018-01-30,6.6,0.8,52,晴時々曇,2.2,1012.4
2018-01-31,9.2,-1,53,晴後薄曇,2,1018.5
2018-02-01,6.3,0.6,79,薄曇後雨,2.3,1021.8
2018-02-02,3.8,0.5,94,雪後みぞれ時々曇,2.4,1021.4
2018-02-03,7.8,1.6,76,薄曇時々晴,1.9,1012.7
2018-02-04,9.8,1.9,54,晴時々曇、みぞれを伴う,2.3,1006.5
2018-02-05,8.1,0.5,48,晴,3,1007.4
2018-02-06,8.2,-1.6,44,晴後一時曇,2.1,1008
2018-02-07,9.1,-1.8,34,快晴,2.1,1010.4
2018-02-08,9.2,-0.7,43,晴,2.2,1016.6
2018-02-09,9.5,-1.4,50,晴,1.9,1021.9
2018-02-10,11.9,0.3,59,薄曇時々晴,2.7,1015.2
2018-02-11,14.9,4.2,55,曇一時晴,2.6,1001.3
2018-02-12,9.7,-0.7,34,晴,3.5,1006.8
2018-02-13,9.7,-1.2,38,晴後一時曇,1.9,1010.8
2018-02-14,11,-0.2,44,晴,3.1,1013.9
2018-02-15,15.1,5.5,51,薄曇時々晴,2.7,1008.5
2018-02-16,10,3.4,52,曇一時晴,3.1,1011.1
2018-02-17,12.3,0.6,54,晴一時雨,3.3,1003.7
2018-02-18,9.8,-1.8,33,晴,3.8,1015.8
2018-02-19,10.7,1.5,45,晴時々薄曇,2.2,1016.2
2018-02-20,12.4,3.2,53,晴,2.5,1012
2018-02-21,8.6,3.5,52,曇,2.6,1012.8
2018-02-22,5.7,1.5,91,みぞれ一時雪、あられを伴う,2.8,1018.1
2018-02-23,8.1,1.8,90,みぞれ一時曇後晴,2,1017.5
2018-02-24,14.4,0.5,55,晴,2.5,1019
2018-02-25,8.9,2.9,57,曇,2.3,1021.8
2018-02-26,10.9,3.9,62,曇後晴,2.7,1019.2
2018-02-27,12.8,3.9,63,晴一時曇,2.4,1019.2
2018-02-28,14.7,3.3,64,薄曇,2.5,1017.2
2018-03-01,20.3,6.7,63,曇一時雨後晴、雷を伴う,3.2,990.8
2018-03-02,14.4,5.4,34,晴,3,1004.5
2018-03-03,16.2,3.2,50,晴後時々薄曇,2.1,1014.8
2018-03-04,21.2,5.8,63,快晴,3.7,1015.2
2018-03-05,19.9,9.7,87,曇時々雨,4.9,1006.7
2018-03-09,17.5,6.4,85,雨時々曇,3.6,1003.8
2018-03-06,12.5,4.4,66,曇後晴,3.5,1019.1
2018-03-07,8.3,2.8,56,曇,2.8,1031.1
2018-03-08,9.8,3.6,92,雨,2.9,1019.8
2018-03-10,11.8,4.4,67,曇後晴,2.8,1014.9
2018-03-11,16.1,5.5,64,曇一時雨後晴,2.2,1016.3
2018-03-12,15.9,5.2,50,快晴,3.4,1018.2
2018-03-13,17.5,5.3,61,快晴,2.6,1018.6
2018-03-14,21.5,7.2,64,快晴,2,1017
